Basic Data Analysis	Students will be able to apply standard statistical inference procedures to draw conclusions from data.
Basic Scripting	Students will be able to demonstrate their proficiency in the use of scripting languages to write simple scripts (e.g., to automate system administration tasks).
Basic Scripting	Students will be able to write simple and compound conditions within a programming language or similar environment (e.g., scripts, macros, SQL).
Basic Scripting	Students will be able to write simple linear and looping scripts.
Cyber Defense	Students will be able to describe potential system attacks and the actors that might perform them.
Cyber Defense	Students will be able to describe cyber defense tools, methods and components.
Cyber Defense	Students will be able to apply cyber defense methods to prepare a system to repel attacks.
Cyber Defense	Students will be able to describe appropriate measures to be taken should a system compromise occur.
Cyber Threats	Students will be able to identify the bad actors in cyberspace and compare and contrast their resources, capabilities/techniques, motivations, aversion to risk.
Cyber Threats	Students will be able to describe different types of attacks and their characteristics.
Fundamental Security Design Principles	Students will be able to list the first principles of security.
Fundamental Security Design Principles	Students will be able to describe why each principle is important to security and how it enables the development of security mechanisms that can implement desired security policies.
Fundamental Security Design Principles	Students will be able to analyze common security failures and identify specific design principles that have been violated.
Fundamental Security Design Principles	Given a specific scenario, students will be able to identify the needed design principle.
Fundamental Security Design Principles	Students will be able to describe why good human machine interfaces are important to system use.
Fundamental Security Design Principles	Students will understand the interaction between security and system usability and the importance for minimizing the affects of security mechanisms
IA Fundamentals	Students shall be able to list the fundamental concepts of the Information Assurance / Cyber Defense discipline.
IA Fundamentals	Students will be able to describe how the fundamental concepts of cyber defense can be used to provide system security.
IA Fundamentals	Students will be able to examine the architecture of a typical, complex system and identify significant vulnerabilities, risks, and points at which specific security technologies/methods should be employed.
Intro to Cryptography	Students will be able to identify the elements of a cryptographic system.
Intro to Cryptography	Students will be able to describe the differences between symmetric and asymmetric algorithms.
Intro to Cryptography	Students will be able to describe which cryptographic protocols, tools and techniques are appropriate for a given situation.
Intro to Cryptography	Students will be able to describe how crypto can be used, strengths and weaknesses, modes, and issues that have to be addressed in an implementation (e.g., key management), etc.
IT System Components	Students will be able to describe the hardware components of modern computing environments and their individual functions.
Networking Concepts	Students will be able to describe the fundamental concepts, technologies, components and issues related to communications and data networks.
Networking Concepts	Students will be able to describe a basic network architecture given a specific need and set of hosts/clients.
Networking Concepts	Students will be able to track and identify the packets involved in a simple TCP connection (or a trace of such a connection).
Networking Concepts	Students will be able to use a network monitoring tools (e.g., WireShark).
Networking Concepts	Students will be able to use a network mapping tool (e.g., Nmap).
Policy, Legal, Ethics and Compliance	Students shall be able to list the applicable laws and policies related to cyber defense and describe the major components of each pertaining to the storage and transmission of data.
Policy, Legal, Ethics and Compliance	Students shall be able to describe their responsibilities related to the handling of information about vulnerabilities.
Policy, Legal, Ethics and Compliance	Students will be able to describe how the type of legal dispute (civil, criminal, private) affects the evidence used to resolve it.
Systems Administration	Students will be able to apply the knowledge gained to successfully install and securely configure, operate and maintain a commodity OS, to include: setting up user accounts, configuring appropriate authentication policies, configuring audit capabilities, performing back-ups, installing patches and updates, reviewing security logs, and restoring the system from a backup.
Databases	Students will be able to describe common security models of database management systems.
Databases	Students will be able to identify and describe common security concerns in database management systems.
Databases	Students will be able to apply security principles to the design and development of database systems and database structures.
Network Defense	Students will be able to describe the various concepts in network defense.
Network Defense	Students will be able to apply their knowledge to implement network defense measures.
Network Defense	Students will be able to use a network monitoring tools (e.g., WireShark).
Network Defense	Students will be able to use a network mapping tool (e.g., Nmap).
Network Technology and Protocols	Students will be able to apply their knowledge of network technologies to design and construct a working network.
Network Technology and Protocols	Students will be able to analyze a trace of packets to identify the establishment of a TCP connection.
Network Technology and Protocols	Students will be able to demonstrate the use of a network monitor to display packets.
Operating Systems Concepts	Students will be able to identify the major concepts in modern operating systems and the basic security issues in OS design and implementation (how the first principles of security apply to operating systems).
Probability and Statistics	Students will be able to evaluate probabilities to solve applied problems.
Probability and Statistics	Students will be able to describe how basic statistics and statistical methods can be applied in a given situation.
Programming	Students will be able to demonstrate proficiency in the use of a programming language to solve complex problems in a secure and robust manner.
Programming	Students will be able to write simple and compound conditions within a programming language or similar environment (e.g., scripts, macros, SQL).
Programming	Students will be able to demonstrate the ability to design and develop basic programs for modern computing platforms (e.g., PC, cloud, mobile, web).
Advanced Cryptography	Students will be able to describe how various cryptographic algorithms and protocols work.
Advanced Cryptography	Students will be able to evaluate security mechanisms based on cryptography.
Advanced Cryptography	Students will be able to describe the application of cryptography in SSL, virtual private networks, secure storage, and other security applications.
Advanced Cryptography	Students will be able to take a mode or protocol diagram and identify how an error propagates through the cryptosystem.
Advanced Network Technology & Protocols	Students will be able to describe current networking technologies and trends.
Advanced Network Technology & Protocols	Students will be able to describe and discuss data network architectures and protocols, to include their advantages and disadvantages, applications, and security issues.
Algorithms	Students will be able to describe how to perform an analysis of algorithms to determine best and worst case behavior.
Analog Telecommunications Systems	Students will be able to describe the basic concepts of modern analog communications systems, using block diagrams.
Analog Telecommunications Systems	Students will be able to briefly describe concepts such as the different types of modulation and their advantages and applications, bandwidth, noise and the importance of the signal- to-noise ratio.
Cloud Computing	Students will be able to describe each type of service/model of cloud computing
Cloud Computing	Students will be able to compare and contrast: local resource requirements, local control, network requirements, and security (attacks, mitigations, overall vulnerability)
Cybersecurity Planning and Management	Students will be able to examine the placement of security functions in a system and describe the strengths and weaknesses
Cybersecurity Planning and Management	Students will be able to develop contingency plans for various size organizations to include: business continuity, disaster recovery and incident response.
Cybersecurity Planning and Management	Students will be able to develop system specific plans for: o  The protection of intellectual property o  The implementation of access controls, and o  Patch and change management.
Data Administration	Students will be able to identify relevant security issues given a system and data management structure
Data Structures	Students will be able to list the most common structures and data formats for storing data in a computer system.
Data Structures	Students will be able to discuss the advantages and disadvantages of different data structures/formats.
Database Management Systems	Students will be able to list the most common structures for storing data in a database management system.
Database Management Systems	Students will be able to configure a commodity DBMS for secure access.
