Basic Data Analysis	Apply standard statistical inference procedures to draw conclusions from data
Basic Scripting	Demonstrate their proficiency in the use of scripting languages to write simple scripts  (e.g., to automate system administration tasks)
Basic Scripting	Write simple and compound conditions within a programming language or similar environment (e.g., scripts, macros, SQL)
Basic Scripting	Write simple linear and looping scripts
Cyber Defense	Describe potential system attacks and the actors that might perform them
Cyber Defense	Describe cyber defense tools, methods and components
Cyber Defense	Apply cyber defense methods to prepare a system to repel attacks
Cyber Defense	Describe appropriate measures to be taken should a system compromise occur
Cyber Threats	Identify the bad actors in cyberspace and compare and contrast their resources, capabilities/techniques, motivations, aversion to risk
Cyber Threats	Describe different types of attacks and their characteristics
Fundamental Security Design Principles	List the first principles of security
Fundamental Security Design Principles	Describe why each principle is important to security and how it enables the development of security mechanisms that can implement desired security policies
Fundamental Security Design Principles	Analyze common security failures and identify specific design principles that have been violated
Fundamental Security Design Principles	Given a specific scenario identify the needed design principle
Fundamental Security Design Principles	Describe why good human machine interfaces are important to system use
Fundamental Security Design Principles	Understand the interaction between security and system usability and the importance for minimizing the affects of security mechanisms
IA Fundamentals	List the fundamental concepts of the Information Assurance/Cyber Defense discipline
IA Fundamentals	Describe how the fundamental concepts of cyber defense can be used to provide system security
IA Fundamentals	Examine the architecture of a typical, complex system and identify significant vulnerabilities, risks, and points at which specific security technologies/methods should be employed
Intro to Cryptography	Identify the elements of a cryptographic system
Intro to Cryptography	Describe the differences between symmetric and asymmetric algorithms
Intro to Cryptography	Describe which cryptographic protocols, tools and techniques are appropriate for a given situation
Intro to Cryptography	Describe how crypto can be used, strengths and weaknesses, modes, and issues that have to be addressed in an implementation (e.g., key management), etc.
IT System Components	Describe the hardware components of modern computing environments and their individual functions
Networking Concepts	Describe the fundamental concepts, technologies, components and issues related to communications and data networks
Networking Concepts	Describe a basic network architecture given a specific need and set of hosts/clients
Networking Concepts	Track and identify the packets involved in a simple TCP connection (or a trace of such a connection)
Networking Concepts	Use a network monitoring tools (e.g., WireShark)
Networking Concepts	Use a network mapping tool (e.g., Nmap)
Policy, Legal, Ethics & Compliance	List the applicable laws and policies related to cyber defense and describe the major components of each pertaining to the storage and transmission of data
Policy, Legal, Ethics & Compliance	Describe their responsibilities related to the handling of information about vulnerabilities
Policy, Legal, Ethics & Compliance	Describe how the type of legal dispute (civil, criminal, private) affects the evidence used to resolve it
Systems Administration	Apply the knowledge gained to successfully install and securely configure, operate and maintain a commodity OS, to include: setting up user accounts, configuring appropriate authentication policies, configuring audit capabilities, performing back-ups, installing patches and updates, reviewing security logs, and restoring the system from a backup
Databases	Describe common security models of database management systems
Databases	Identify and describe common security concerns in database management systems
Databases	Apply security principles to the design and development of database systems and database structures
Network Defense	Describe the various concepts in network defense
Network Defense	Apply their knowledge to implement network defense measures
Network Defense	Use a network monitoring tools (e.g., WireShark)
Network Defense	Use a network mapping tool (e.g., Nmap)
Network Technology & Protocols	Apply their knowledge of network technologies to design and construct a working network
Network Technology & Protocols	Analyze a trace of packets to identify the establishment of a TCP connection
Network Technology & Protocols	Demonstrate the use of a network monitor to display packets
Operating Systems Concepts	Identify the major concepts in modern operating systems and the basic security issues in OS design and implementation (how the first principles of security apply to operating systems)
Probability and Statistics	Evaluate probabilities to solve applied problems
Probability and Statistics	Describe how basic statistics and statistical methods can be applied in a given situation
Programming	Demonstrate proficiency in the use of a programming language to solve complex problems in a secure and robust manner
Programming	Write simple and compound conditions within a programming language or similar environment (e.g., scripts, macros, SQL)
Programming	Demonstrate the ability to design and develop basic programs for modern computing platforms (e.g., PC, cloud, mobile, web)
Advanced Cryptography	Describe how various cryptographic algorithms and protocols work
Advanced Cryptography	Evaluate security mechanisms based on cryptography
Advanced Cryptography	Describe the application of cryptography in SSL, virtual private networks, secure storage, and other security applications
Advanced Cryptography	Given a mode or protocol diagram identify how an error propagates through the cryptosystem
Advanced Network Technology & Protocols	Describe current networking technologies and trends
Advanced Network Technology & Protocols	Describe and discuss data network architectures and protocols, to include their advantages and disadvantages, applications, and security issues
Algorithms	Describe how to perform an analysis of algorithms to determine best and worst case behavior
Analog Telecommunications Systems	Describe the basic concepts of modern analog communications systems, using block diagrams
Analog Telecommunications Systems	Describe concepts such as the different types of modulation and their advantages and applications, bandwidth, noise and the importance of the signal-to-noise ratio
Cloud Computing	Describe each type of service/model of cloud computing
Cloud Computing	Compare and contrast: local resource requirements, local control, network requirements, and security (attacks, mitigations, overall vulnerability)
Cybersecurity Planning & Management	Examine the placement of security functions in a system and describe the strengths and weaknesses
Cybersecurity Planning & Management	Develop contingency plans for various size organizations to include: business continuity, disaster recovery and incident response
Cybersecurity Planning & Management	Develop system specific plans for: the protection of intellectual property, the implementation of access controls, and patch and change management
Data Administration	Identify relevant security issues given a system and data management structure
Data Structures	List the most common structures and data formats for storing data in a computer system
Data Structures	Discuss the advantages and disadvantages of different data structures/formats
Database Management Systems	List the most common structures for storing data in a database management system
Database Management Systems	Configure a commodity DBMS for secure access
Database Management Systems	Describe alternatives to relational DBMSs and their unique security issues
Database Management Systems	Describe the role of a database, a DBMS, and a database server within a complex system supporting multiple applications
Database Management Systems	Demonstrate basic SQL proficiency for table creation, data insertion and data query
Database Management Systems	Describe DBMS access controls and privilege levels and apply them to a simple database
Database Management Systems	Develop a DB structure for a specific system/problem
Digital Communications	Describe digital communications systems in terms of subsystems and modulation techniques
Digital Communications	Describe the current state of the art in digital communications
Digital Communications	Compare and contrast different approaches to digital communications and describe the advantages and disadvantages of each
Digital Forensics	Discuss the rules, laws, policies, and procedures that affect digital forensics
Digital Forensics	Use one or more common DF tools, such as EnCase, FTK, ProDiscover, Xways, SleuthKit
Digital Forensics	Describe the steps in performing digital forensics from the initial recognition of an incident through the steps of evidence gathering, preservation and analysis, through the completion of legal proceedings
Host Forensics	Describe what can/cannot be retrieved from various operating systems (OSes)
Host Forensics	Describe the methodologies used in host forensics
Device Forensics	Describe methods for the acquisition/analysis of mobile devices (e.g., device storage, system data, cell tower logs)
Device Forensics	Explain the legal issues related to mobile device forensic activities
Media Forensics	Describe methods and approaches for forensic analysis on specified media
Network Forensics	Describe the methodologies used in network forensics
Network Forensics	Analyze and decipher network traffic, identify anomalous or malicious activity, and provide a summary of the effects on the system
Embedded Systems	Discuss embedded system architectures, real time OS issues such as concurrency and synchronization, and real time resource management
Forensic Accounting	Describe common forms of financial statement fraud and related detection techniques
Forensic Accounting	Describe and implement methods of indirectly estimating concealed revenue and income
Forensic Accounting	Describe common methods of money laundering and related methods of prevention and detection (including related laws and regulations)
Forensic Accounting	Calculate loss, damages, and business value for occurrences of fraud, theft and fraudulent financial statements
Formal Methods	Apply formal security policy models to real world scenarios
Fraud Prevention and Management	Describe the components of the fraud triangle – necessary condition for fraud
Fraud Prevention and Management	Describe the cost and effectiveness of common fraud detection and prevention methods
Fraud Prevention and Management	Analyze record keeping and management procedures for assets and to identify/correct weaknesses
Fraud Prevention and Management	Describe legal and ethical requirements for detecting, preventing and reporting fraud
Fraud Prevention and Management	Describe investigative procedures for fraud
Fraud Prevention and Management	Describe common methods of financial statement fraud
Hardware Reverse Engineering	Perform basic procedures such as probing, measuring, and data collection to identify functionality and to affect modifications
Hardware/Firmware Security	Describe how systems are initialized, how software is loaded, and how software and hardware interact
Hardware/Firmware Security	Describe the role of intermediate software such as hardware abstraction layers or other forms of middleware
IA Architectures	Examine a specific architecture and identify potential vulnerabilities
IA Architectures	Design a secure architecture for a given application
IA Compliance	List the applicable laws for compliance in a given situation
IA Compliance	Describe what the laws mandate and where they apply
IA Compliance	Conduct audits to determine compliance with laws
IA Standards	Describe the impact of legal/regulatory standards on a given system
IA Standards	Describe how standards, such as the Orange Book, may be applied to the requirements for a sub-contractor or customer
Industrial Control Systems	Describe the use and application of PLCs in automation
Industrial Control Systems	Describe the components and applications of industrial control systems
Industrial Control Systems	Explain various control schemes and their differences
