Basic Analysis	Explain what is meant by “best”, “expected”, and “worst” case behavior of an algorithm.
Basic Analysis	In the context of specific algorithms, identify the characteristics of data and/or other conditions or assumptions that lead to different behaviors.
Basic Analysis	Determine informally the time and space complexity of simple algorithms.
Basic Analysis	State the formal definition of big O.
Basic Analysis	List and contrast standard complexity classes.
Basic Analysis	Perform empirical studies to validate hypotheses about runtime stemming from mathematical analysis  Run algorithms on input of various sizes and compare performance.
Basic Analysis	Give examples that illustrate time-space trade-offs of algorithms.
Basic Analysis	Use big O notation formally to give asymptotic upper bounds on time and space complexity of algorithms.
Basic Analysis	Use big O notation formally to give expected case bounds on time complexity of algorithms.
Basic Analysis	Explain the use of big omega, big theta, and little o notation to describe the amount of work done by an algorithm.
Basic Analysis	Use recurrence relations to determine the time complexity of recursively defined algorithms.
Basic Analysis	Solve elementary recurrence relations, eg, using some form of a Master Theorem.
Algorithmic Strategies 	For each of the strategies (brute-force, greedy, divide-and-conquer, recursive backtracking, and dynamic programming), identify a practical example to which it would apply.
Algorithmic Strategies 	Use a greedy approach to solve an appropriate problem and determine if the greedy rule chosen leads to an optimal solution.
Algorithmic Strategies 	Use a divide-and-conquer algorithm to solve an appropriate problem.
Algorithmic Strategies 	Use recursive backtracking to solve a problem such as navigating a maze.
Algorithmic Strategies 	Use dynamic programming to solve an appropriate problem.
Algorithmic Strategies 	Determine an appropriate algorithmic approach to a problem.
Algorithmic Strategies 	Describe various heuristic problem-solving methods.
Algorithmic Strategies 	Use a heuristic approach to solve an appropriate problem.
Algorithmic Strategies 	Describe the trade-offs between brute force and heuristic strategies.
Algorithmic Strategies 	Describe how a branch-and-bound approach may be used to improve the performance of a heuristic method.
Fundamental Data Structures and Algorithms	Implement basic numerical algorithms.
Fundamental Data Structures and Algorithms	Implement simple search algorithms and explain the differences in their time complexities.
Fundamental Data Structures and Algorithms	Be able to implement common quadratic and O(N log N) sorting algorithms.
Fundamental Data Structures and Algorithms	Describe the implementation of hash tables, including collision avoidance and resolution.
Fundamental Data Structures and Algorithms	Discuss the runtime and memory efficiency of principal algorithms for sorting, searching, and hashing.
Fundamental Data Structures and Algorithms	Discuss factors other than computational efficiency that influence the choice of algorithms, such as programming time, maintainability, and the use of application-specific patterns in the input data.
Fundamental Data Structures and Algorithms	Explain how tree balance affects the efficiency of various binary search tree operations.
Fundamental Data Structures and Algorithms	Solve problems using fundamental graph algorithms, including depth-first and breadth-first search.
Fundamental Data Structures and Algorithms	Demonstrate the ability to evaluate algorithms, to select from a range of possible options, to provide justification for that selection, and to implement the algorithm in a particular context.
Fundamental Data Structures and Algorithms	Describe the heap property and the use of heaps as an implementation of priority queues.
Fundamental Data Structures and Algorithms	Solve problems using graph algorithms, including single-source and all-pairs shortest paths, and at least one minimum spanning tree algorithm.
Fundamental Data Structures and Algorithms	Trace and/or implement a string-matching algorithm.
Basic Automata Computability and Complexity	Discuss the concept of finite state machines.
Basic Automata Computability and Complexity	Design a deterministic finite state machine to accept a specified language.
Basic Automata Computability and Complexity	Generate a regular expression to represent a specified language.
Basic Automata Computability and Complexity	Explain why the halting problem has no algorithmic solution.
Basic Automata Computability and Complexity	Design a context-free grammar to represent a specified language.
Basic Automata Computability and Complexity	Define the classes P and NP.
Basic Automata Computability and Complexity	Explain the significance of NP-completeness.
Advanced Computational Complexity	Define the classes P and NP (Also appears in AL/Basic Automata, Computability, and Complexity).
Advanced Computational Complexity	Define the P-space class and its relation to the EXP class.
Advanced Computational Complexity	Explain the significance of NP-completeness (Also appears in AL/Basic Automata, Computability, and Complexity).
Advanced Computational Complexity	Provide examples of classic NP-complete problems.
Advanced Computational Complexity	Prove that a problem is NP-complete by reducing a classic known NP-complete problem to it.
Advanced Automata Theory and Computability	Determine a language’s place in the Chomsky hierarchy (regular, context-free, recursively enumerable).
