Cyberspace Domain; Scope	Describe the primary attributes of the cyber domains
Cyberspace Domain; Scope	Describe what makes the cyber domain different from standard operational domains
Cyberspace Domain; Scope	Categorize challenges unique to operations in the cyber domain
Cyberspace Domain; Cyber Actors	Develop solutions to address the challenges unique to operations in the cyber domain
Cyberspace Domain; Cyber Actors	Classify major categories of cyber actors
Cyberspace Domain; Cyber Actors	Identify the motivation for cyber actors
Cyberspace Domain; Cyber Actors	Discriminate tactics, techniques, and procedures of various cyber actors
Cyberspace Domain; Cyberspace Impact	Describe how cyber actions can result in planned and unplanned effects
Cyberspace Domain; Cyberspace Impact	Discuss non-kinetic options due to leveraging the cyber domain
Cyberspace Domain; Cyberspace Impact	Recognize how cyber can have kinetic impacts on an environment
Cyberspace Domain; Cyberspace Impact	Formulate cyber options to deny, degrade, disrupt, destroy, and/or deceive a target
Cyberspace Domain; Cyberspace Impact	Describe cascading effects of actions in the cyber domain
Cyberspace Domain; Cyberspace Impact	Infer unanticipated effect from cyber operations
Cyberspace Domain;  Attribution	Express the difficulty of cyber attribution
Cyberspace Domain; Attribution	Distinguish why it is difficult to attribute cyber actions due technical, legal, geopolitical and other challenges
Cyberspace Domain; Attribution	Argue means to attain a reasonable level of attribution for a cyber-event including addressing the technical, legal, geopolitical, and other challenges
Cyberspace Domain; Social, Political, & Economic Interdependencies	Describe interrelationships between actors
Cyberspace Domain; Social, Political, & Economic Interdependencies	Analyze the influences of relationships on information
Cyberspace Domain; Social, Political, & Economic Interdependencies	Discuss cognitive perceptions and its impact from network interdependencies
Cyberspace Domain; Social, Political, & Economic Interdependencies	Evaluate the impact of social network relationships on an actor
Cyberspace Domain; Social, Political, & Economic Interdependencies	Analyze cognitive decision processes for actors given their interdependencies
Cyberspace Domain; Common/Conflicting Objectives	Express that some objectives in cyber may conflict with other goals
Cyberspace Domain; Common/Conflicting Objectives	Understand the cascading implications of cyber effects on different and common/ conflicting mission goals
Cyberspace Domain; Common/Conflicting Objectives	Formulate a plan to deconflict competing objectives and assess the ramifications and tradeoffs
Cyberspace Domain; Service Specific Issues	Discuss the role of cyber with respect to the services
Cyberspace Domain; Service Specific Issues	Recognize how cyber impacts all career fields
Cyberspace Domain; Service Specific Issues	Diagram how the students’ selected service is organized to support cyber
Cyberspace Domain; Service Specific Issues	Diagram how the different services interrelate with external Agencies and Departments
Cyberspace Domain; Service Specific Issues	Justify how a plan would operate within their service in collaboration with external Agencies and Departments
Cyberspace Risk Management; Implementation Risk	Describe how implementation issues can affect the security of cyber systems
Cyberspace Risk Management; Implementation Risk	Identify key factors that would lead to implementation risk for a variety of cyber systems
Cyberspace Risk Management; Implementation Risk	Justify a prioritization of mitigation options for reducing risk
Cyberspace Risk Management; Implementation Risk	Perform a comprehensive vulnerability assessment for a network
Cyberspace Risk Management; Operations Risk	Evaluate mitigation options and devise a mitigation plan
Cyberspace Risk Management; Implementation Risk	Discuss types of risks that exist for offensive and defensive cyber operations
Cyberspace Risk Management; Implementation Risk	Discuss how cyber risk can shape operational decisions
Cyberspace Risk Management; Implementation Risk	Identify key factors that impact the risk of success for cyber operations
Cyberspace Risk Management; Implementation Risk	Analyze the probability of success of cyber attacks/defenses
Cyberspace Risk Management; Implementation Risk	Construct mitigation options to reduce the cyber operation risks
Cyberspace Risk Management; Supply Chain Risk	Describe how a supply chain can be effected through cyber
Cyberspace Risk Management; Supply Chain Risk	Explain how supply chain risks cascade to the mission
Cyberspace Risk Management; Supply Chain Risk	Evaluate a cyber-system for potential supply chain risk
Cyberspace Risk Management; Resource-Capability Tradeoffs	Discuss how resource-capability tradeoffs can impact defensive capability
Cyberspace Risk Management; Resource-Capability Tradeoffs	Identify the impact of resource constraints prioritizations to the cyber system
Cyberspace Risk Management; Resource-Capability Tradeoffs	Assess a resource constrained cyber system to explain accepted risks
Cyberspace Risk Management; Cyber Effect Risks	Identify how cyber effects can have a cascading impact including unanticipated higher order risks
Cyberspace Risk Management; Cyber Effect Risks	Illustrate the cascading effects of a cyber-event
Cyberspace Risk Management; Cyber Effect Risks	Analyze the risk associated with cyber operations towards mission effectiveness and identify cascading events
Cyberspace Risk Management; Threat	Describe the types of threats that are specific to the cyber domain
Cyberspace Risk Management; Threat	Recognize the impact different threats can have within the cyber domain
Cyberspace Risk Management; Threat	Evaluate the overall risk associated with a particular threat given a scenario Summarize how cyber can have kinetic effects
Cyberspace Operations Planning & Management; Cyber Integration into Military operations	Explain dependencies of other warfighting domains on cyber and vice versa
Cyberspace Operations Planning & Management; Cyber Integration into Military operations	Analyze the impact of cyber limited or denied environments on war planning
Cyberspace Operations Planning & Management; Cyber Integration into Military operations	Choose alternatives between conventional and cyber options to solve warfighting problems
Cyberspace Operations Planning & Management; Cyber Integration into Military operations	Plan supporting and supported cyber operations for a small scale war game
Cyberspace Operations Planning & Management; Types of Operations	Distinguish between OCO, DCO, DCO-RA, law enforcement, and other civil and commercial actions
Cyberspace Operations Planning & Management; Types of Operations	Identify which types of operations are executed by which actors
Cyberspace Operations Planning & Management; Types of Operations	Explain how the different types of cyber operations can be used to shape operational, strategic, economic and diplomatic landscapes
Cyberspace Operations Planning & Management; Types of Operations	Explain how different types of cyber operations can help or interfere with each other
Cyberspace Operations Planning & Management; Capabilities/ Limitations of Cyber Arsenal	Summarize the pros and cons of cyber munitions
Cyberspace Operations Planning & Management; Capabilities/ Limitations of Cyber Arsenal	Summarize the tradeoffs between cyber and conventional munitions
Cyberspace Operations Planning & Management; Capabilities/ Limitations of Cyber Arsenal	Identify the characteristics of a good cyber weapon: noise, reuse, specific, novelty, C2
Cyberspace Operations Planning & Management; Capabilities/ Limitations of Cyber Arsenal	Chose a cyber-weapon based on a mission requirement, conditions and constraints, and the weapon’s characteristics
Cyberspace Operations Planning & Management; Capabilities/ Limitations of Cyber Arsenal	Given a scenario for a cyber- mission, analyze potential higher order effects or unintended consequences
Cyberspace Operations Planning & Management; Capabilities/ Limitations of Cyber Arsenal	Specify the characteristics required of a cyber-weapon to satisfy a specific mission
Cyberspace Operations Planning & Management; Phases of Cyber Operations	Translate the phases of a kinetic operation into examples of each phase for a cyber-operation
Cyberspace Operations Planning & Management; Phases of Cyber Operations	Evaluate how well traditional mission planning fits the cyber paradigm and vice versa
Cyberspace Operations Planning & Management; Scope of Effort	Recognize the complexity and costs of cyber mission and munitions planning and development
Cyberspace Operations Planning & Management; Scope of Effort	Allocate resources to meet the requirements of a given mission and its priorities
Cyberspace Operations Planning & Management; Scope of Effort	Prioritize cyber capabilities to protect operational and strategic requirements
Cyberspace Operations Planning & Management; Range of Effects	Given a scenario, evaluate a cyber-mission for potential higher order effects or unintended consequences
Cyberspace Operations Planning & Management; Attack and Defense, Timing and Sequencing	Plan a sequence of interrelated attacks to meet a specific objective
Cyberspace Operations Planning & Management; Attack and Defense, Timing and Sequencing	Assess an adversary’s attack chain and identify how and where it can be broken
Cyber Attack; Attack Methodology	List and describe each of the phases of a successful cyber attack, which may include: Reconnaissance, Scanning, Gaining Access,
	Elevating Privilege, Executing the Objective, Maintaining Access, and Covering Your Tracks, not necessarily in this order
Cyber Attack; Attack Methodology	Explain the operational considerations of a successful cyber attack during each phase of the attach methodology
Cyber Attack; Attack Methodology	Demonstrate the phases of a successful cyber attack
Cyber Attack; Attribution	Define the two characteristics of Attribution —anonymous/covert versus a successful cyber attack
Cyber Attack; Attribution	Describe a viable attribution technique/strategy
Cyber Attack; Attribution	Demonstrate the ability to attribute an attack to the malicious actor
Cyber Attack; Attack Objectives	List and describe each of the Attack Objectives (Deny, Degrade, Disrupt, Destroy, Deceive)
Cyber Attack; Attack Objectives	Describe techniques used to carry out Attack Objectives
Cyber Attack; Attack Consequences	Define the consequences of the various objectives
Cyber Attack; Attack Consequences	Describe some potential consequences of a successful
Cyber Attack; Attack Consequences	Predict potential consequences of a successful cyber attack
Cyber Attack; Co-opt-ability	Recognize that an adversary can leverage your cyber attack to perform nefarious actions of their choosing
Cyber Attack; Co-opt-ability	Demonstrate the ability to coop an adversary’s cyber attack
Cyber Attack; Vulnerability Assessment	Describe the purpose of and methods of performing Vulnerability Assessment
Cyber Attack; Vulnerability Assessment	Demonstrate the ability to perform a vulnerability
Cyber Attack; Battle Damage Assessment	Describe the purpose of and methods of performing Battle Damage Assessment
Cyber Attack; Battle Damage Assessment	Demonstrate the ability to perform battle damage
Cyber Attack; Tactics, Techniques & Procedures	List and describe the various tactics, techniques and procedures of a successful cyber attack
Cyber Attack; Exploit Development	Develop an exploit based on a perceived
Cyber Attack; Persistence	Describe techniques to maintain long-term persistence
Cyber Attack; Persistence	Demonstrate techniques to maintain long-term persistence
Cyber Attack; Evasion	Describe techniques to evade detection by hiding/covering the attacker’s tracks
Cyber Attack; Evasion	Demonstrate techniques to evade detection by hiding/covering attacker’s tracks
Cyber Attack; Obfuscation	Demonstrate the ability to hide an exploit from IDS, IPS, anti-virus, etc. using obfuscation
Cyber Defense; Security Policies	Identify and differentiate between personal, organizational, and system security policies
Cyber Defense; Security Policies	Recognize individual responsibilities and their potential effects on organizational policy
Cyber Defense; Security Policies	Distinguish sources of guidance for security policies
Cyber Defense; Security Policies	Interpret policy and apply to the overall organization
Cyber Defense; Security Policies	Implement technical policies
Cyber Defense; Security Policies	Formulate local policy to comply with larger organization or national policy
Cyber Defense; Security Policies	Assess technical policies and their impact on security posture and usability
Cyber Defense; Domain Separation	Explain national policy with respect to the protection of sensitive information and current broad implementations
Cyber Defense; Domain Separation	Describe the application of granularity in the protection of sensitive information
Cyber Defense; Domain Separation	Differentiate techniques for domain separation in terms of rigor, cost of development and operation, simplicity
Cyber Defense; Domain Separation	Analyze architectures for domain separation
Cyber Defense; Trust	Define a trust relationship
Cyber Defense; Trust	Distinguish between human and technical trust relationships and their impact on vulnerability
Cyber Defense; Trust	Apply trust relationships to systems and people based upon organizational requirements
Cyber Defense; Trust	Design and implement trust relationship infrastructures for system development and operation
Cyber Defense; Vulnerability Types	Describe types of vulnerabilities and associated attacks
Cyber Defense; Vulnerability Types	Associate vulnerabilities with system weaknesses and lacking principles
